_id,ID,Veri Adi,Mahalle Adi,Boylam,Enlem,Elektrik,Otomatik Hesaplanan Alan (M2),Su,Toplam Alani (m2),Tur,WC/Kanalizasyon,Yol Durumu
1,151347491,Emniyettepe Parkı,Emniyettepe,28.953119063577244,41.0704280681936,Var,1557.42764668167,Var,1755,Park,Var,Var
2,151347492,"Emniyettepe Bölge Parkı  
(Aynı Zamanda TRANSFER alanıdır.)",Emniyettepe,28.951401273056764,41.06873175119619,Yok,12087.1580096129,Var,12523,Park,Var,Var
3,151347493,Fidan Parkı ve Yanı Boş Alan,Emniyettepe,28.955307005075355,41.07209637650781,Var,5280.43062943406,Var,5840,Boş Alan,Var,Var
4,151347494,Araphan Parkı,Emniyettepe,28.950061594547716,41.072623233106206,Var,1634.13518419489,Var,2235,Park,Var,Var
5,151347495,İBB Barış Manço Parkı,Akşemsettin,28.92739984261674,41.089840219095365,Var,28781.1406146698,Var,28559,Park,Yok,Var
6,151347496,Akşemsettin Parkı,Akşemsettin,28.92307737082524,41.08529963836953,Var,7546.74561111815,Var,7531,Park,Yok,Var
7,151347497,Şafak Sokak Parkı,Akşemsettin,28.93003088261724,41.08941882038573,Yok,16431.5550773276,Var,17932,Park,Yok,Var
8,151347498,Güneş  Parkı,Akşemsettin,28.921097348613234,41.08765796826595,Yok,596.190313342959,Yok,592,Park,Yok,Var
9,151347499,Veysel Karani Parkı ve Parseller Futbol Sahası,Akşemsettin,28.928773063512192,41.08086739743361,Var,11856.1995394873,Var,14808,Futbol Sahası,Var,Var
10,151347500,Necip Fazıl Kısakürek Parkı,Akşemsettin,28.92249436346455,41.09005700177873,Var,1804.72464979999,Var,2092,Park,Yok,Var
11,151347501,Erdemliler Parkı,Akşemsettin,28.92472054521111,41.089906665199344,Var,17840.1619459422,Var,17483,Park,Yok,Var
12,151347502,Fetih Parkı,Akşemsettin,28.925387408777688,41.084307715546856,Var,3340.89934255555,Var,3311,Park,Yok,Var
13,151347503,Lale Parkı,Akşemsettin,28.930864605596692,41.086558709189966,Var,2386.75163916103,Var,2547,Park,Yok,Var
